model,macro_f1_mean,macro_f1_std,balanced_acc_mean,balanced_acc_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,fit_time_mean
rf_tuned_best,0.5617453649105825,0.010894170781928437,0.5669216636099159,0.012445459724260538,0.5635100799137244,0.010316726660364896,0.5669216636099159,0.012445459724260538,
logreg_tuned_best,0.5154160382539257,0.005849041455578131,0.5276342159481918,0.007093466081751351,0.5169963759946518,0.005700700688520728,0.5276342159481918,0.007093466081751351,
rf_default,0.4983844095411268,0.0027287456745028345,0.5121652564554433,0.0031396491776646807,0.6117664256143611,0.02107212471739036,0.5121652564554433,0.0031396491776646807,6.617515230178833
logreg_default,0.45566870352220856,0.0038509352380258423,0.4749435409492825,0.0033408906236829902,0.5627428985735159,0.05940495361414191,0.4749435409492825,0.0033408906236829902,15.14258770942688
dummy_most_frequent,0.2517718564965853,2.7765745801980942e-05,0.3333333333333333,0.0,,,,,
