mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_test_balanced_acc,split1_test_balanced_acc,split2_test_balanced_acc,split3_test_balanced_acc,split4_test_balanced_acc,mean_test_balanced_acc,std_test_balanced_acc,rank_test_balanced_acc,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
75.76304683685302,1.2988614560433682,0.9062061786651612,0.03399483026145353,800,5,5,0.5,10,balanced_subsample,"{'model__n_estimators': 800, 'model__min_samples_split': 5, 'model__min_samples_leaf': 5, 'model__max_features': 0.5, 'model__max_depth': 10, 'model__class_weight': 'balanced_subsample'}",0.5581331024083612,0.5661907457013081,0.5716273810936444,0.5706275946739744,0.5421480006756241,0.5617453649105825,0.010894170781928437,1,0.5611991512032146,0.572983691347294,0.5784337601853864,0.5768418869742683,0.5451498283394165,0.5669216636099159,0.012445459724260538,1,0.5590295908370809,0.5682131604559476,0.5707280283697957,0.574111138433412,0.5454684814723857,0.5635100799137244,0.010316726660364896,8,0.5611991512032146,0.572983691347294,0.5784337601853864,0.5768418869742683,0.5451498283394165,0.5669216636099159,0.012445459724260538,1
44.8061646938324,2.1138739612969073,0.640957260131836,0.08516169269240412,500,10,2,0.5,10,balanced,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.5528593209171434,0.5619555578313037,0.5716079118128915,0.568665595635525,0.5459010790857535,0.5601978930565235,0.009625314864536038,2,0.5556025235017514,0.5674302152403395,0.5770159960431296,0.573371181804121,0.548414576472979,0.564366898612464,0.01078658002419515,2,0.5538848355433491,0.5641798973697689,0.5703816435028394,0.571537226154005,0.5488543123111816,0.5617675829762289,0.008992858207153051,9,0.5556025235017514,0.5674302152403395,0.5770159960431296,0.573371181804121,0.548414576472979,0.564366898612464,0.01078658002419515,2
8.569751358032226,0.24793222194926287,0.5405593872070312,0.10059688813625196,300,10,5,sqrt,10,balanced,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.557475737250266,0.553696235465488,0.568638849291481,0.5671910632384624,0.5404769426929351,0.5574957655877265,0.010220022250206878,3,0.5619611399782062,0.5604661147447918,0.5762694221080465,0.5730776001953078,0.5430298308428873,0.5629608215738479,0.011695600667154677,3,0.555657562667731,0.5519578547150811,0.5655497840378084,0.5670241173600669,0.5403239231209965,0.5561026483803369,0.00974548555419103,10,0.5619611399782062,0.5604661147447918,0.5762694221080465,0.5730776001953078,0.5430298308428873,0.5629608215738479,0.011695600667154677,3
60.736436223983766,1.6777009007953194,0.5687994956970215,0.12237091940880394,300,2,5,0.8,,balanced_subsample,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 0.8, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.5382242486688191,0.5646115750927371,0.5653185117543256,0.556150665768552,0.5352141621966124,0.5519038326962092,0.012846416175265832,4,0.5356103443263134,0.5605410135359504,0.5598803370073487,0.5524228338318194,0.5327300850357698,0.5482369227474404,0.01186906985241069,5,0.5602400332785513,0.5859730452407348,0.5949115950434711,0.579911411944563,0.5492385200383564,0.5740549211091353,0.01684070012322671,4,0.5356103443263134,0.5605410135359504,0.5598803370073487,0.5524228338318194,0.5327300850357698,0.5482369227474404,0.01186906985241069,5
19.800709581375123,1.0540301225080357,0.8020083427429199,0.10936484469344926,500,2,5,sqrt,20,balanced_subsample,"{'model__n_estimators': 500, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}",0.5349358982817948,0.5568729201364455,0.5712976202984505,0.5521885908705657,0.5360762091314847,0.5502742477437482,0.013609104637554109,5,0.5366505496679062,0.555177051513551,0.5658256471094992,0.5509242040856361,0.5337320642253495,0.5484619033203885,0.011909088743966121,4,0.5562370025339379,0.5754385912231136,0.6069801979978702,0.5710281407120495,0.5559588266475272,0.5731285518228997,0.01863226157823984,5,0.5366505496679062,0.555177051513551,0.5658256471094992,0.5509242040856361,0.5337320642253495,0.5484619033203885,0.011909088743966121,4
64.0545325756073,0.30175271936412545,0.5949004173278809,0.09540553234500365,300,10,2,0.8,20,balanced_subsample,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}",0.5354664666634646,0.5554229422159737,0.5687791086127286,0.5495332781852179,0.5313175658657094,0.5481038723086188,0.013598246115841695,6,0.5326581502061852,0.5519465735412424,0.5624483582701377,0.5467595769733632,0.5295444936521211,0.5446714305286099,0.012218431525584016,7,0.5562287384535997,0.5774294718960449,0.5959817746512992,0.5723476172400226,0.5478381299982816,0.5699651464478495,0.016831821209201382,7,0.5326581502061852,0.5519465735412424,0.5624483582701377,0.5467595769733632,0.5295444936521211,0.5446714305286099,0.012218431525584016,7
29.526802635192873,1.7946509419947065,1.037894058227539,0.11862530009417455,800,10,5,sqrt,30,balanced,"{'model__n_estimators': 800, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__class_weight': 'balanced'}",0.5318281957340546,0.5479943842955534,0.5595507589137547,0.5517080986322734,0.5374816584298469,0.5457126192010966,0.009931487970017286,7,0.534468636953109,0.5491540695388741,0.5579012280459659,0.5508596840388781,0.5351731171662208,0.5455113471486095,0.009210903649323343,6,0.5584823477477002,0.570191936219466,0.5955527097674086,0.5742604939522279,0.5604783233459705,0.5717931622065546,0.013254215260817591,6,0.534468636953109,0.5491540695388741,0.5579012280459659,0.5508596840388781,0.5351731171662208,0.5455113471486095,0.009210903649323343,6
110.82645988464355,3.175502307860353,0.7690195083618164,0.11486941826673484,500,5,1,0.8,20,balanced_subsample,"{'model__n_estimators': 500, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}",0.5240175090676363,0.5566819166232088,0.5512908817295362,0.5402083534122001,0.5281352668311009,0.5400667855327365,0.012664938781011029,8,0.524708157885728,0.5514975086306572,0.5462221492749909,0.5390401025018644,0.5252980971800648,0.537353203094661,0.010833170930095351,9,0.5575764979060481,0.5917963905632168,0.5958619195571391,0.5731778298849389,0.5525468131006241,0.5741918902023934,0.017464922258173324,3,0.524708157885728,0.5514975086306572,0.5462221492749909,0.5390401025018644,0.5252980971800648,0.537353203094661,0.010833170930095351,9
177.29260005950928,2.977329502997035,0.9843419075012207,0.14623834267491978,800,5,2,0.8,30,balanced,"{'model__n_estimators': 800, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 30, 'model__class_weight': 'balanced'}",0.5266725619963301,0.5486544035492974,0.5456973275422684,0.5343838790904397,0.5233699271763221,0.5357556198709316,0.01003000666451544,9,0.5284978722315461,0.5470091687671729,0.5459312740359467,0.5361167009361977,0.5250747717368006,0.5365259575415329,0.008878119136499734,10,0.5689110816475663,0.594484306105921,0.610517282422557,0.5783259996912408,0.5529663394891028,0.5810410018712775,0.019961294613462414,1,0.5284978722315461,0.5470091687671729,0.5459312740359467,0.5361167009361977,0.5250747717368006,0.5365259575415329,0.008878119136499734,10
61.027171993255614,9.597246587312913,0.5972238063812256,0.24608470075550756,500,10,1,0.5,30,balanced_subsample,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 30, 'model__class_weight': 'balanced_subsample'}",0.5279382349039895,0.5454970717939776,0.5448039285412873,0.5361702685892592,0.5212059788010334,0.5351230965259093,0.009463010546299867,10,0.5313228949671743,0.5466808401324231,0.546820318417618,0.540753962541305,0.524523838295292,0.5380203708707625,0.008796907446605497,8,0.5705577426749651,0.5841017467383368,0.5992623337911688,0.5795510229989224,0.5512772869507248,0.5769500266308236,0.015847411083676165,2,0.5313228949671743,0.5466808401324231,0.546820318417618,0.540753962541305,0.524523838295292,0.5380203708707625,0.008796907446605497,8
